gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	lfqeae5	lfqeae6	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Slc25a25	31.7858525895004	31.3658840401491	32.6343040211299	31.728622089954	31.9000913737932	31.8192080692091	31.7631133394074	31.3542115594558	31.27863622649	31.0815061729575	30.9708989149014	31.8829508229053	31.3779290470702	-0.505021775835115	0.0832620947861012	0.19944867244979	2.32591057415208	0	1
Fam171a1	23.9368787226982	22.2111587226916	22.6503795119766	22.0782292585538	22.3538528359642	22.7782825099957	22.5563011628783	22.8024658779892	22.5843303833458	22.6076328303818	22.6660902677775	22.6460998103769	22.6658505053947	0.0197506950178088	0.956256512824045	0.97336877677813	0.0389415975565638	0	0
Gpr155	22.1879063635838	20.6501696317127	23.3738486045768	23.2094938228182	23.0694655017138	23.3204469081362	22.6878873696681	23.1314921371366	22.8878297129837	22.6399765528078	23.0859844493207	22.4981767848811	22.9589361883422	0.460759403461104	0.419244180178288	0.578212313945638	0.790328761272791	0	0
Mipep	27.3914099862999	26.7993415096179	27.6321470014734	27.2039650783617	27.4242229403431	27.8021182379548	27.6505466001038	27.4957180593099	27.1586549861988	27.2109470005587	26.9471508810051	27.2902173032192	27.3775226275218	0.0873053243026369	0.662350977263678	0.77737494763853	0.3633174800068	0	1
Dpy19l1	24.9673684067474	25.4149974267647	25.0923677750981	25.5339185475713	25.639783400625	25.0886527131812	25.4676214695644	25.9264876580393	26.1717302244378	25.8062671886506	26.0071012004915	25.3296871113613	25.7446434090608	0.414956297699518	0.0772759782064519	0.190427781693384	2.39268412471084	0	0
Itih4	22.1652930897363	22.9441047350746	24.4899054578716	22.4248895164376	21.0184475656958	22.5744780405944	22.9695656946937	23.6492175774975	23.1777638091465	22.9337670033813	24.0820470107836	22.6085280729632	23.2311398560162	0.622611783052982	0.351106348473789	0.512232418943651	0.96512953158658	0	0
Hbbt1,Hbb-b1	28.2911863706582	28.5982896613864	28.1701166156084	29.2728872360208	28.9179795045762	28.750150746805	28.5994961655739	28.6206230660608	29.8306535450396	29.1267685043474	28.6625481027501	28.65009187765	28.9317066884295	0.281614810779462	0.345081302077837	0.506824004277121	0.980443239644128	0	0
Nlgn4l	26.4205494483086	25.7952592829843	25.9189121761688	25.5148469432325	25.9832669373104	25.7542477377446	26.2059420630716	25.980306088103	25.3452303441693	24.9713649769442	25.3210321310869	25.9265669576009	25.5963538901866	-0.330213067414327	0.202291774627597	0.358096793361933	1.48157849502689	0	0
Ptprs	25.9418784711906	25.5641567018796	25.8121071731492	25.2744432777251	25.6555639140394	25.9652999002104	25.7685782974323	26.2276588320081	25.771099919106	25.8021552249192	25.8811501907456	25.6496299075968	25.902657060737	0.253027153140202	0.102996426757339	0.23106098748031	2.11365440029112	0	0
Cisd3	29.375258093824	29.1111542604132	30.0195617156865	30.7697482475394	30.3668221072535	29.4973561220595	29.7903732822397	29.2976284515316	29.120231587677	29.5822613364956	29.3755066843373	29.9285088849433	29.4438929107235	-0.484615974219842	0.194496889474769	0.350132698084454	1.51402629686984	0	1
