gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	validation	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Acadm	30.78015327	30.60994911	30.53185272	30.50483704	30.35478973	31.30146599	31.0895462	30.46635818	31.29548454	1	30.556316374	31.0382137275	0.481897353499999	0.0865901008370578	0.717428491676623	0.479093053823387	0	1
Ptgds	26.9570961	26.98945236	26.55218506	26.97852898	26.55727768	27.80958939	26.79637337	27.41134834	27.57369232	1	26.806908036	27.397750855	0.590842818999999	0.0643821159455216	0.686873513116308	0.541883641842128	0	0
Hmgcs1	27.42926025	27.77335358	27.43781662	27.59402275	27.92795753	26.47916412	26.03454208	27.67161942	26.18165779	1	27.632482146	26.5917458525	-1.0407362935	0.063642678076951	0.686873513116308	0.541883641842128	0	0
Nceh1	28.94171906	28.75197029	28.98577881	28.70351982	28.67620087	29.57395363	29.10717964	29.17695427	29.01032066	1	28.81183777	29.21710205	0.405264280000001	0.0372271999154846	0.631366153531865	0.663451172596547	0	0
S100a6	27.37815475	27.08365059	26.87935066	26.72884178	26.88884544	27.66834259	28.42524338	27.09385872	28.02978516	1	26.991768644	27.8043074625	0.812538818499998	0.0565903058090649	0.681813124210635	0.552551724726948	0	0
Erlin2	28.80618095	28.88570595	28.76060867	28.75292778	28.7275753	29.33435631	29.03543282	29.02341461	29.0441246	1	28.78659973	29.109332085	0.322732354999999	0.0172075362576285	0.473394285522367	1.07888580389363	0	0
Chid1	25.39427567	25.50017929	25.62413597	25.5324173	25.52903938	25.75161934	25.69197655	25.64795685	25.56360435	1	25.516009522	25.6637892725	0.1477797505	0.0305915373885815	0.582159256620299	0.780514221295309	0	0
Acaa1a/Acaa1b	29.65065002	29.90188217	29.6953373	29.73860931	29.63135719	30.42967033	29.94083786	30.05943298	30.07137489	1	29.723567198	30.125329015	0.401761816999997	0.0234909470259175	0.535635918221596	0.900675387954198	0	0
Alg2	29.79873085	29.95181847	29.87244034	29.72964287	29.55746841	30.20955276	29.81984711	30.13081169	30.10430908	1	29.782020188	30.06613016	0.284109972	0.0388442010825816	0.631366153531865	0.663451172596547	0	0
Gstk1	29.79091644	29.75061417	29.33321571	29.33764648	29.4701252	29.85260582	29.80893707	29.75161171	30.13730049	1	29.5365036	29.8876137725	0.3511101725	0.0314784860070451	0.590163319139489	0.760813840230771	0	1
Slc4a7	22.935160518535	23.94975853	24.01333427	24.07095528	24.37663269	24.57899857	22.7665472902872	25.59619331	24.80960655	1	23.869168257707	24.4378364300718	0.568668172364809	0.4285351983343	0.944283351474719	0.0827082602701432	0	0
Slc1a3	30.86629105	31.0459938	30.96371841	30.74959183	30.62592697	31.41278839	30.75278473	31.47421265	31.58794785	1	30.850304412	31.306933405	0.456628992999999	0.0881086917615263	0.717428491676623	0.479093053823387	0	0
Aldh3a2	29.94048691	29.97991943	30.09156609	29.98678398	30.00168991	30.37197113	30.20897293	30.0153141	30.1284771	1	30.000089264	30.181183815	0.181094551000001	0.0897012540605405	0.723037815373337	0.467856991798246	0	1
Hadh	31.96968079	32.01717377	31.67917442	31.75078964	31.7461319	32.26364899	32.16364288	31.8105011	32.33310318	1	31.832590104	32.1427240375	0.310133933500001	0.06944086143613	0.686873513116308	0.541883641842128	0	1
Hsd17b4	30.63957405	30.89785767	30.71938896	30.64375114	30.57970238	31.43698311	30.88823509	31.0229702	30.99570465	1	30.69605484	31.0859732625	0.389918422499999	0.0393302845249116	0.634044268360199	0.657344523427802	0	1
Ubxn4	26.98918152	26.85192108	26.66499138	27.00811768	26.70668411	27.17811966	26.94089317	27.06301308	27.07393074	1	26.844179154	27.0639891625	0.219810008500001	0.038361524354255	0.631366153531865	0.663451172596547	0	0
Marcks	31.11240959	31.10683823	30.98607063	31.13690376	30.89663124	31.56631088	31.07670403	31.46715927	31.45645332	1	31.04777069	31.391656875	0.343886184999999	0.0415605939212033	0.635007712009581	0.655153981726314	0	0
Map7d1	27.18044472	27.37011147	27.02337456	27.17959023	27.32367134	26.72987747	27.03223038	26.93477631	27.01584625	1	27.215438464	26.9281826025	-0.2872558615	0.01890294030039	0.493230328868938	1.01966658070313	0	0
Arhgef12	25.65789604	25.91042709	25.44306755	25.94400406	25.20340538	25.78356743	25.77298737	26.28383255	26.45843506	1	25.631760024	26.0747056025	0.442945578500002	0.0942388345883281	0.729450862458332	0.455117296833721	0	0
Hexb	26.21685982	25.3561039	25.66204643	25.49938774	26.32660484	31.68430519	29.65903854	26.53903961	26.92665672	1	25.812200546	28.702260015	2.890059469	0.0957059471563077	0.729450862458332	0.455117296833721	0	0
Ckap4	27.96853828	26.83680534	28.19262886	28.14002228	27.81955147	29.84652901	28.51867104	28.57226563	28.3695488	1	27.791509246	28.82675362	1.035244374	0.0514564077647168	0.655113195632821	0.610183886453166	0	0
Usmg5	29.53624153	29.72498512	30.13688469	30.01393127	30.27503204	29.47356606	29.60443497	29.30653191	29.42705345	1	29.93741493	29.4528965975	-0.484518332499999	0.0194511064321717	0.497906005552103	1.0060546781418	0	1
Ctnna3	29.032547	28.86836815	29.17191887	28.83701515	28.97069359	29.78603935	28.94448662	29.62786674	29.60183525	1	28.976108552	29.49005699	0.513948438	0.06464377893242	0.686873513116308	0.541883641842128	0	0
